ORDER_ID;ORDER_CLIENT;ITEM_NR;PRODUCT_ID;BU_QUANTITY;totalProductWeight;PRODUCT_NAME;LAYERS_NORM;QUANTITY_MAX;CAPACITY_LOAD_CLASS;BU_QUANTITY_WEIGHT;LAYER_HEIGHT;NORMATIVELUWEIGHT
3368772;196966;431386;431386;12;42.504;Product_00317;9;54;5;3.542;215;192.091
3368772;196966;482412;482412;18;64.818;Product_00322;9;54;5;3.601;215;194.5
3368772;196966;482413;482413;48;171.84;Product_00326;9;54;5;3.58;215;193.35
3368772;196966;482414;482414;24;86.976;Product_00320;9;54;5;3.624;215;195.72
3368772;196966;482816;482816;24;82.8;Product_00327;8;64;5;3.45;225;221.42
3370673;179590;482066;482066;6;20.964;Product_00315;9;54;5;3.494;215;189.499
3370673;179590;482067;482067;6;30.54;Product_00318;6;36;5;5.09;280;184.15
3370673;179590;482414;482414;6;21.744;Product_00320;9;54;5;3.624;215;195.72
3370673;179590;482415;482415;6;30.528;Product_00324;6;36;5;5.088;280;183.963
3370673;179590;482522;482522;8;28.256;Product_00313;8;64;5;3.532;225;226.06
3370673;179590;539859;539859;16;150.864;Product_00267;7;56;4;9.429;240;528.06
3370673;179590;541320;541320;18;174.402;Product_00260;7;42;4;9.689;230;406.94
3370673;179590;545664;545664;60;304.02;Product_00262;8;96;4;5.067;200;487.46
3367427;194183;197;197;24;313.968;Product_00443;5;60;1;13.082;218;784.96
3367427;194183;209;209;33;321.651;Product_00453;7;77;2;9.747;197;750.58
3367427;194183;399307;399307;95;616.835;Product_00311;5;95;4;6.493;250;616.92
3367427;194183;399308;399308;95;619.59;Product_00308;5;95;4;6.522;250;619.6
3367427;194183;399510;399510;95;618.45;Product_00296;5;95;4;6.51;250;618.48
3367427;194183;409859;409859;95;619.875;Product_00299;5;95;4;6.525;250;619.89
3367427;194183;427569;427569;13;174.304;Product_00464;5;65;0;13.408;248;871.52
3367427;194183;432258;432258;33;324.423;Product_00463;7;77;2;9.831;197;757.03
3367427;194183;504347;504347;77;761.53;Product_00439;7;77;2;9.89;197;762.18
3367427;194183;545614;545614;32;407.456;Product_00448;4;64;3;12.733;340;814.95
3367427;194183;545615;545615;32;410.784;Product_00455;4;64;3;12.837;340;821.57
3367427;194183;545616;545616;32;406.976;Product_00432;4;64;3;12.718;340;814
3367427;194183;545619;545619;32;406.592;Product_00437;4;64;3;12.706;340;813.19
3367427;194183;545620;545620;32;403.808;Product_00608;4;64;3;12.619;340;807.63
3367427;194183;545621;545621;32;408;Product_00470;4;64;3;12.75;340;816
3369834;189978;94075;94075;16;96.688;Product_00496;9;144;4;6.043;125;870.26
3369834;189978;399308;399308;38;247.836;Product_00308;5;95;4;6.522;250;619.6
3369834;189978;406748;406748;16;97.456;Product_00516;9;144;4;6.091;125;866.304
3369834;189978;409859;409859;38;247.95;Product_00299;5;95;4;6.525;250;619.89
3369632;195560;195;195;48;618.24;Product_00428;5;60;1;12.88;218;772.82
3369632;195560;197;197;36;470.952;Product_00443;5;60;1;13.082;218;784.96
3369632;195560;198;198;24;312.528;Product_00467;5;60;1;13.022;218;781.34
3369632;195560;13945;13945;60;788.22;Product_00452;5;60;1;13.137;218;788.24
3369632;195560;436813;436813;12;154.56;Product_00607;5;60;1;12.88;218;772.82
3369632;195560;436816;436816;12;154.56;Product_00435;5;60;1;12.88;218;772.82
3369256;192210;514691;514691;1100;3703.7;Product_00039;10;240;2;3.367;135;808.19
3368097;194182;469283;469283;459;1551.42;Product_00532;14;238;0;3.38;80;804.44
3368097;194182;469286;469286;209;835.164;Product_00183;11;209;0;3.996;97;835.164
3368097;194182;469613;469613;240;885.12;Product_00162;10;240;0;3.688;112;885.12
3368097;194182;469628;469628;459;1551.42;Product_00527;14;238;0;3.38;80;804.44
3368097;194182;469890;469890;24;175.104;Product_00181;10;120;0;7.296;145;875.52
3368097;194182;469894;469894;24;176.64;Product_00182;10;120;0;7.36;145;883.2
3368097;194182;469936;469936;72;244.8;Product_00191;14;252;0;3.4;84;858.816
3368097;194182;469940;469940;18;60.336;Product_00138;14;252;0;3.352;84;844.704
